"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R1,R2,R3";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";3;"120R";;;
2;"D2,D1";"D_DO-41_SOD81_P10.16mm_Horizontal";2;"1N4007";;;
3;"J1";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"Vin";;;
4;"D3";"LED_1206_3216Metric";1;"LED";;;
5;"J2";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"Vout";;;
6;"D4";"D_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"D_Zener";;;
7;"RV1";"Potentiometer_Bourns_3266W_Vertical";1;"1k";;;
8;"C1";"C_Radial_D4.0mm_H7.0mm_P1.50mm";1;"10uF/25V";;;
9;"U1";"SOT-223-3_TabPin2";1;"LM338";;;
10;"C2";"C_Radial_D5.0mm_H11.0mm_P2.00mm";1;"4.7uF/25V";;;
